M00017	Methionine biosynthesis, apartate => homoserine => methionine
M00021	Cysteine biosynthesis, serine => cysteine
M00034	Methionine salvage pathway
M00035	Methionine degradation
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine
M00368	Ethylene biosynthesis, methionine => ethylene
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA
M00312	2-oxoisovalerate:ferredoxin oxidoreductase
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00031	Lysine biosynthesis, 2-aminoadipate => lysine
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00015	Proline biosynthesis, glutamate => proline
M00028	Ornithine biosynthesis, glutamate => ornithine
M00029	Urea cycle
M00047	Creatine pathway
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA
M00026	Histidine biosynthesis, PRPP => histidine
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine
M00044	Tyrosine degradation, tyrosine => homogentisate
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate
M00350	Capsaicin biosynthesis, L-Phenylalanine => Capsaicin
M00545	Trans-cinnamate degradation, trans-cinnamate => 2-oxopent-4-enoate + fumarate
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA
M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol
M00548	Benzene degradation, benzene => catechol
M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate
M00569	Catechol meta-cleavage, catechol => pyruvate + acetaldehyde
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00023	Tryptophan biosynthesis, chorismate => tryptophan
M00024	Phenylalanine biosynthesis, chorismate => phenylalanine
M00025	Tyrosine biosynthesis, chorismate => tyrosine
M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine
M00118	Glutathione biosynthesis, glutamate => glutathione
M00269	PTS system, sucrose-specific II component
M00270	PTS system, trehalose-specific II component
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose
M00055	N-glycan precursor biosynthesis
M00072	Oligosaccharyltransferase
M00073	N-glycan precursor trimming
M00074	N-glycan biosynthesis, high-mannose type
M00075	N-glycan biosynthesis, complex type
M00267	PTS system, N-acetylglucosamine-specific II component
M00282	PTS system, D-glucosamine-specific II component
M00362	Nucleotide sugar biosynthesis, prokaryotes
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose
M00076	Dermatan sulfate degradation
M00077	Chondroitin sulfate degradation
M00078	Heparan sulfate degradation
M00079	Keratan sulfate degradation
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone
M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
M00063	CMP-KDO biosynthesis
M00064	ADP-L-glycero-D-manno-heptose biosynthesis
M00080	Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen
M00089	Triacylglycerol biosynthesis
M00098	Acylglycerol degradation
M00065	GPI-anchor biosynthesis, core oligosaccharide
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
M00310	Pyruvate:ferredoxin oxidoreductase
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate
M00419	Cymene degradation, p-cymene => p-cumate
M00537	Xylene degradation, xylene => methylbenzoate
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA
M00538	Toluene degradation, toluene => benzoate
M00534	Naphthalene degradataion, naphthalene => salicylate
M00373	Ethylmalonyl pathway
M00012	Glyoxylate cycle
M00013	Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA
M00140	C1-unit interconversion, prokaryotes
M00174	Methane oxidation, methylotroph, methane => CO2
M00344	Formaldehyde assimilation, xylulose monophosphate pathway
M00345	Formaldehyde assimilation, ribulose monophosphate pathway
M00346	Formaldehyde assimilation, serine pathway
M00347	Methanogenesis, formate => methane
M00356	Methanogenesis, methanol => methane
M00357	Methanogenesis, acetate => methane
M00358	Coenzyme M biosynthesis
M00378	F420 biosynthesis
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA
M00561	Methanogenesis, trimethylamine => methane
M00562	Methanogenesis, dimethylamine => methane
M00563	Methanogenesis, methylamine => methane
M00567	Methanogenesis, CO2 => methane
M00173	Reductive citric acid cycle (Arnon-Buchanan cycle)
M00374	Dicarboxylate-hydroxybutyrate cycle
M00375	Hydroxypropionate-hydroxybutylate cycle
M00376	3-Hydroxypropionate bicycle
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate
M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
M00115	NAD biosynthesis, aspartate => NAD
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
M00120	Coenzyme A biosynthesis, pantothenate => CoA
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
M00126	Tetrahydrofolate biosynthesis, GTP => THF
M00121	Heme biosynthesis, glutamate => protoheme/siroheme
M00122	Cobalamin biosynthesis, cobinamide => cobalamin
M00095	C5 isoprenoid biosynthesis, mevalonate pathway
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
M00364	C10-C20 isoprenoid biosynthesis, bacteria
M00365	C10-C20 isoprenoid biosynthesis, archaea
M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid
M00175	Nitrogen fixation, nitrogen => ammonia
M00528	Nitrification, ammonia => nitrite
M00529	Denitrification, nitrate => nitrogen
M00530	Dissimilatory nitrate reduction, nitrate => ammonia
M00531	Assimilatory nitrate reduction, nitrate => ammonia
M00176	Sulfur reduction, sulfate => H2S
M00137	Flavonoid biosynthesis, 4-coumaroyl-CoA => naringenin => apigenin
M00138	Flavonoid biosynthesis, naringenin => pelargonidin
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin
M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
M00185	Sulfate transport system
M00186	Tungstate transport system
M00189	Molybdate transport system
M00190	Iron(III) transport system
M00191	Thiamine transport system
M00194	Maltose/maltodextrin transport system
M00195	Maltooligosaccharide transport system
M00196	Multiple sugar transport system
M00198	Putative sn-glycerol-phosphate transport system
M00199	L-Arabinose/lactose transport system
M00200	Putative sorbitol/mannitol transport system
M00201	alpha-Glucoside transport system
M00202	Oligogalacturonide transport system
M00203	Glucose/arabinose transport system
M00204	Trehalose/maltose transport system
M00205	N-Acetylglucosamine transport system
M00206	Cellobiose transport system
M00208	Glycine betaine/proline transport system
M00209	Osmoprotectant transport system
M00212	Ribose transport system
M00213	L-Arabinose transport system
M00214	Methyl-galactoside transport system
M00215	D-Xylose transport system
M00216	Multiple sugar transport system
M00217	D-Allose transport system
M00218	Fructose transport system
M00219	AI-2 transport system
M00220	Rhamnose transport system
M00222	Phosphate transport system
M00223	Phosphonate transport system
M00224	Fluoroquinolones transport system
M00225	Lysine/arginine/ornithine transport system
M00226	Histidine transport system
M00227	Glutamine transport system
M00228	Putative glutamine transport system
M00229	Arginine transport system
M00230	Glutamate/aspartate transport system
M00231	Octopine/nopaline transport system
M00232	General L-amino acid transport system
M00233	Glutamate transport system
M00234	Cystine transport system
M00235	Arginine/ornithine transport system
M00237	Branched-chain amino acid transport system
M00238	D-Methionine transport system
M00239	Peptides/nickel transport system
M00240	Iron complex transport system
M00241	Vitamin B12 transport system
M00242	Zinc transport system
M00245	Cobalt/nickel transport system
M00246	Nickel transport system
M00248	Putative antibiotic transport system
M00249	Capsular polysaccharide transport system
M00250	Lipopolysaccharide transport system
M00251	Teichoic acid transport system
M00252	Lipooligosaccharide transport system
M00253	Sodium transport system
M00255	Lipoprotein-releasing system
M00256	Cell division transport system
M00257	Hemin transport system
M00259	Heme transport system
M00298	Multidrug/hemolysin transport system
M00299	Spermidine/putrescine transport system
M00300	Putrescine transport system
M00301	Mannopine transport system
M00302	2-Aminoethylphosphonate transport system
M00314	Bacitracin transport system
M00316	Manganese transport system
M00317	Manganese/iron transport system
M00318	Iron/zinc/copper transport system
M00319	Manganese/zinc/iron transport system
M00320	Lipopolysaccharide export system
M00321	Bicarbonate transport system
M00322	Neutral amino acid transport system
M00323	Urea transport system
M00324	Dipeptide transport system
M00325	alpha-Hemolysin/cyclolysin transport system
M00348	Glutathione transport system
M00349	Microcin C transport system
M00423	Molybdate/tungstate transport system
M00435	Taurine transport system
M00436	Sulfonate transport system
M00437	Phthalate transport system
M00438	Nitrate/nitrite transport system
M00439	Oligopeptide transport system
M00440	Nickel transport system
M00442	Putative hydroxymethylpyrimidine transport system
M00491	Putative arabinogalactan oligomer transport system
M00566	Dipeptide transport system, Firmicutes
M00581	Biotin transport system
M00582	Energy-coupling factor transport system
M00583	Putative peptide transport system
M00584	Acetoin utilization transport system
M00585	L-Cystine transport system
M00586	Putative amino-acid transport system
M00315	Uncharacterized ABC transport system
M00434	PhoR-PhoB (phosphate starvation response) two-component regulatory system
M00443	SenX3-RegX3 (phosphate starvation response) two-component regulatory system
M00444	PhoQ-PhoP (magnesium transport) two-component regulatory system
M00445	EnvZ-OmpR (osmotic stress response) two-component regulatory system
M00446	RstB-RstA two-component regulatory system
M00447	CpxA-CpxR (envelope stress response) two-component regulatory system
M00448	CssS-CssR (secretion stress response) two-component regulatory system
M00449	CreC-CreB (phosphate regulation) two-component regulatory system
M00450	BaeS-BaeR (envelope stress response) two-component regulatory system
M00451	BasS-BasR (antimicrobial peptide resistance) two-component regulatory system
M00452	CusS-CusR (copper tolerance) two-component regulatory system
M00453	QseC-QseB (quorum sensing) two-component regulatory system
M00454	KdpD-KdpE (potassium transport) two-component regulatory system
M00455	TorS-TorR (TMAO respiration) two-component regulatory system
M00456	ArcB-ArcA (anoxic redox control) two-component regulatory system
M00457	TctE-TctD (tricarboxylic acid transport) two-component regulatory system
M00458	ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system
M00459	VicK-VicR (cell wall metabolism) two-component regulatory system
M00460	MprB-MprA (maintenance of persistent infection) two-component regulatory system
M00461	MtrB-MtrA (osmotic stress response) two-component regulatory system
M00462	PrrB-PrrA (intracellular multiplication) two-component regulatory system
M00463	TrcS-TrcR two-component regulatory system
M00464	NrsS-NrsR (nickel tolerance) two-component regulatory system
M00465	ManS-ManR (manganese homeostasis) two-component regulatory system
M00466	NblS-NblR (photosynthesis) two-component regulatory system
M00467	SasA-RpaAB (circadian timing mediating) two-component regulatory system
M00468	SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system
M00469	BceS-BceR (bacitracin transport) two-component regulatory system
M00470	YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system
M00471	NarX-NarL (nitrate respiration) two-component regulatory system
M00472	NarQ-NarP (nitrate respiration) two-component regulatory system
M00473	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system
M00474	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system
M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system
M00476	ComP-ComA (competence) two-component regulatory system
M00477	EvgS-EvgA (acid and drug tolerance) two-component regulatory system
M00478	DegS-DegU (multicellular behavior control) two-component regulatory system
M00479	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system
M00480	VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system
M00481	LiaS-LiaR (cell wall stress response) two-component regulatory system
M00482	DevS-DevR (redox response) two-component regulatory system
M00483	NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system
M00484	YdfH-YdfI two-component regulatory system
M00485	KinABCDE-Spo0FA (sporulation control) two-component regulatory system
M00486	CitA-CitB (citrate fermentation) two-component regulatory system
M00487	CitS-CitT (magnesium-citrate transport) two-component regulatory system
M00488	DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system
M00489	DctS-DctR (C4-dicarboxylate transport) two-component regulatory system
M00490	MalK-MalR (malate transport) two-component regulatory system
M00492	LytS-LytR two-component regulatory system
M00493	AlgZ-AlgR (alginate production) two-component regulatory system
M00494	NatK-NatR (sodium extrusion) two-component regulatory system
M00495	AgrC-AgrA (exoprotein synthesis) two-component regulatory system
M00496	ComD-ComE (competence) two-component regulatory system
M00497	GlnL-GlnG (nitrogen regulation) two-component regulatory system
M00498	NtrY-NtrX (nitrogen regulation) two-component regulatory system
M00499	HydH-HydG (metal tolerance) two-component regulatory system
M00500	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system
M00501	PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system
M00502	GlrK-GlrR (amino sugar metabolism) two-component regulatory system
M00503	PgtB-PgtA (phosphoglycerate transport) two-component regulatory system
M00504	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system
M00505	KinB-AlgB (alginate production) two-component regulatory system
M00506	CheA-CheYBV (chemotaxis) two-component regulatory system
M00507	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system
M00508	PixL-PixGH (positive phototaxis) two-component regulatory system
M00509	WspE-WspRF (chemosensory) two-component regulatory system
M00510	Cph1-Rcp1 (light response) two-component regulatory system
M00511	PleC-PleD (cell fate control) two-component regulatory system
M00512	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system
M00513	LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system
M00514	TtrS-TtrR (tetrathionate respiration) two-component regulatory system
M00515	FlrB-FlrC (polar flagellar synthesis) two-component regulatory system
M00516	SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system
M00517	RpfC-RpfG (cell-to-cell signaling) two-component regulatory system
M00518	GlnK-GlnL (glutamine utilization) two-component regulatory system
M00519	YesM-YesN two-component regulatory system
M00520	ChvG-ChvI (acidity sensing) two-component regulatory system
M00521	CiaH-CiaR two-component regulatory system
M00522	SalK-SalR two-component regulatory system
M00523	RegB-RegA (redox response) two-component regulatory system
M00524	FixL-FixJ (nitrogen fixation) two-component regulatory system
M00271	PTS system, beta-glucosides-specific II component
M00275	PTS system, cellobiose-specific II component
M00303	PTS system, N-acetylmuramic acid-specific II component
M00304	PTS system, fructose-specific II component
M00305	PTS system, 2-O-A-mannosyl-D-glycerate-specific II component
M00178	Ribosome, bacteria
M00179	Ribosome, archaea
M00390	Exosome, archaea
M00183	RNA polymerase, bacteria
M00184	RNA polymerase, archaea
M00260	DNA polymerase III complex, bacteria
M00342	Bacterial proteasome
M00343	Archaeal proteasome
M00331	Type II general secretion system
M00332	Type III secretion system
M00333	Type IV secretion system
M00334	Type VI secretion system
M00335	Sec (secretion) system
M00336	Twin-arginine translocation (Tat) system
