M00079	Keratan sulfate degradation	map00531  Glycosaminoglycan degradation
M00080	Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen	map00540  Lipopolysaccharide biosynthesis
M00081	Pectin degradation	map00040  Pentose and glucuronate interconversions
M00082	Fatty acid biosynthesis, initiation	map00061  Fatty acid biosynthesis
M00083	Fatty acid biosynthesis, elongation	map00061  Fatty acid biosynthesis
M00085	Fatty acid biosynthesis, elongation, mitochondria	map00062  Fatty acid elongation
M00086	beta-Oxidation, acyl-CoA synthesis	map00071  Fatty acid metabolism
M00087	beta-Oxidation	map00071  Fatty acid metabolism
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	map00072  Synthesis and degradation of ketone bodies
M00089	Triacylglycerol biosynthesis	map00561  Glycerolipid metabolism
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	map00564  Glycerophospholipid metabolism
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	map00564  Glycerophospholipid metabolism
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	map00564  Glycerophospholipid metabolism
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	map00564  Glycerophospholipid metabolism
M00094	Ceramide biosynthesis	map00600  Sphingolipid metabolism
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	map00900  Terpenoid backbone biosynthesis
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	map00900  Terpenoid backbone biosynthesis
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	map00906  Carotenoid biosynthesis
M00098	Acylglycerol degradation	map00561  Glycerolipid metabolism
M00099	Sphingosine biosynthesis	map00600  Sphingolipid metabolism
M00100	Sphingosine degradation	map00600  Sphingolipid metabolism
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	map00100  Steroid biosynthesis
M00102	Ergocalciferol biosynthesis	map00100  Steroid biosynthesis
M00103	Cholecalciferol biosynthesis	map00100  Steroid biosynthesis
M00104	Bile acid biosynthesis, cholesterol => cholate	map00120  Primary bile acid biosynthesis
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	map00120  Primary bile acid biosynthesis
M00107	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	map00140  Steroid hormone biosynthesis
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	map00140  Steroid hormone biosynthesis
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	map00140  Steroid hormone biosynthesis
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	map00140  Steroid hormone biosynthesis
M00112	Tocopherol biosynthesis	map00130  Ubiquinone and other terpenoid-quinone biosynthesis
M00113	Jasmonic acid biosynthesis	map00592  alpha-Linolenic acid metabolism
M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	map00010  Glycolysis / Gluconeogenesis
M00115	NAD biosynthesis, aspartate => NAD	map00760  Nicotinate and nicotinamide metabolism
M00116	Menaquinone biosynthesis, chorismate => menaquinone	map00130  Ubiquinone and other terpenoid-quinone biosynthesis
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	map00130  Ubiquinone and other terpenoid-quinone biosynthesis
M00118	Glutathione biosynthesis, glutamate => glutathione	map00480  Glutathione metabolism
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	map00770  Pantothenate and CoA biosynthesis
M00120	Coenzyme A biosynthesis, pantothenate => CoA	map00770  Pantothenate and CoA biosynthesis
M00121	Heme biosynthesis, glutamate => protoheme/siroheme	map00860  Porphyrin and chlorophyll metabolism
M00122	Cobalamin biosynthesis, cobinamide => cobalamin	map00860  Porphyrin and chlorophyll metabolism
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	map00780  Biotin metabolism
M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	map00750  Vitamin B6 metabolism
M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	map00740  Riboflavin metabolism
M00126	Tetrahydrofolate biosynthesis, GTP => THF	map00790  Folate biosynthesis
M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	map00730  Thiamine metabolism
M00128	Ubiquinone biosynthesis, eukaryotes, chorismate => ubiquinone	map00130  Ubiquinone and other terpenoid-quinone biosynthesis
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	map00040  Pentose and glucuronate interconversions
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	map00562  Inositol phosphate metabolism
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	map00562  Inositol phosphate metabolism
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	map00562  Inositol phosphate metabolism
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	map00330  Arginine and proline metabolism
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	map00330  Arginine and proline metabolism
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	map00330  Arginine and proline metabolism
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	map00330  Arginine and proline metabolism
M00137	Flavonoid biosynthesis, 4-coumaroyl-CoA => naringenin => apigenin	map00941  Flavonoid biosynthesis
M00138	Flavonoid biosynthesis, naringenin => pelargonidin	map00941  Flavonoid biosynthesis
M00139	Morphine biosynthesis, dopamine => morphine	map00950  Isoquinoline alkaloid biosynthesis
M00140	C1-unit interconversion, prokaryotes	map00670  One carbon pool by folate
M00141	C1-unit interconversion, eukaryotes	map00670  One carbon pool by folate
M00142	NADH:ubiquinone oxidoreductase, mitochondria	map00190  Oxidative phosphorylation
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190  Oxidative phosphorylation
M00144	NADH:quinone oxidoreductase, prokaryotes	map00190  Oxidative phosphorylation
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	map00190  Oxidative phosphorylation
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190  Oxidative phosphorylation
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	map00190  Oxidative phosphorylation
M00148	Succinate dehydrogenase (ubiquinone)	map00190  Oxidative phosphorylation
M00149	Succinate dehydrogenase, prokaryotes	map00190  Oxidative phosphorylation
M00150	Fumarate reductase, prokaryotes	map00190  Oxidative phosphorylation
M00151	Cytochrome bc1 complex respiratory unit	map00190  Oxidative phosphorylation
M00152	Cytochrome bc1 complex	map00190  Oxidative phosphorylation
M00153	Cytochrome d ubiquinol oxidase	map00190  Oxidative phosphorylation
M00154	Cytochrome c oxidase	map00190  Oxidative phosphorylation
M00155	Cytochrome c oxidase, prokaryotes	map00190  Oxidative phosphorylation
M00156	Cytochrome c oxidase, cbb3-type	map00190  Oxidative phosphorylation
M00157	F-type ATPase, bacteria	map00190  Oxidative phosphorylation
M00158	F-type ATPase, eukaryotes	map00190  Oxidative phosphorylation
M00159	V-type ATPase, prokaryotes	map00190  Oxidative phosphorylation
M00160	V-type ATPase, eukaryotes	map00190  Oxidative phosphorylation
M00161	Photosystem II	map00195  Photosynthesis
M00162	Cytochrome b6f complex	map00195  Photosynthesis
M00163	Photosystem I	map00195  Photosynthesis
M00164	ATP synthase	map00195  Photosynthesis
M00165	Reductive pentose phosphate cycle (Calvin cycle)	map00710  Carbon fixation in photosynthetic organisms
M00166	Reductive pentose phosphate cycle, RuBP + CO2 => glyceraldehyde-3P	map00710  Carbon fixation in photosynthetic organisms
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => RuBP	map00710  Carbon fixation in photosynthetic organisms
M00168	CAM (Crassulacean acid metabolism), dark	map00710  Carbon fixation in photosynthetic organisms
M00169	CAM (Crassulacean acid metabolism), light	map00710  Carbon fixation in photosynthetic organisms
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	map00710  Carbon fixation in photosynthetic organisms
M00171	C4-dicarboxylic acid cycle, NAD+ -malic enzyme type	map00710  Carbon fixation in photosynthetic organisms
M00172	C4-dicarboxylic acid cycle, NADP+ -malic enzyme type	map00710  Carbon fixation in photosynthetic organisms
M00173	Reductive citric acid cycle (Arnon-Buchanan cycle)	map00720  Carbon fixation pathways in prokaryotes
M00174	Methane oxidation, methylotroph, methane => CO2	map00680  Methane metabolism
M00175	Nitrogen fixation, nitrogen => ammonia	map00910  Nitrogen metabolism
M00176	Sulfur reduction, sulfate => H2S	map00920  Sulfur metabolism
M00177	Ribosome, eukaryotes	map03010  Ribosome
M00178	Ribosome, bacteria	map03010  Ribosome
M00179	Ribosome, archaea	map03010  Ribosome
M00180	RNA polymerase II, eukaryotes	map03020  RNA polymerase
M00181	RNA polymerase III, eukaryotes	map03020  RNA polymerase
M00182	RNA polymerase I, eukaryotes	map03020  RNA polymerase
M00183	RNA polymerase, bacteria	map03020  RNA polymerase
M00184	RNA polymerase, archaea	map03020  RNA polymerase
M00185	Sulfate transport system	map02010  ABC transporters
M00186	Tungstate transport system	map02010  ABC transporters
M00189	Molybdate transport system	map02010  ABC transporters
M00190	Iron(III) transport system	map02010  ABC transporters
M00191	Thiamine transport system	map02010  ABC transporters
M00194	Maltose/maltodextrin transport system	map02010  ABC transporters
M00195	Maltooligosaccharide transport system	map02010  ABC transporters
M00196	Multiple sugar transport system	map02010  ABC transporters
M00198	Putative sn-glycerol-phosphate transport system	map02010  ABC transporters
M00199	L-Arabinose/lactose transport system	map02010  ABC transporters
M00200	Putative sorbitol/mannitol transport system	map02010  ABC transporters
M00201	alpha-Glucoside transport system	map02010  ABC transporters
M00202	Oligogalacturonide transport system	map02010  ABC transporters
M00203	Glucose/arabinose transport system	map02010  ABC transporters
M00204	Trehalose/maltose transport system	map02010  ABC transporters
M00205	N-Acetylglucosamine transport system	map02010  ABC transporters
M00206	Cellobiose transport system	map02010  ABC transporters
M00208	Glycine betaine/proline transport system	map02010  ABC transporters
M00209	Osmoprotectant transport system	map02010  ABC transporters
M00212	Ribose transport system	map02010  ABC transporters
M00213	L-Arabinose transport system	map02010  ABC transporters
M00214	Methyl-galactoside transport system	map02010  ABC transporters
M00215	D-Xylose transport system	map02010  ABC transporters
M00216	Multiple sugar transport system	map02010  ABC transporters
M00217	D-Allose transport system	map02010  ABC transporters
M00218	Fructose transport system	map02010  ABC transporters
M00219	AI-2 transport system	map02010  ABC transporters
M00220	Rhamnose transport system	map02010  ABC transporters
M00222	Phosphate transport system	map02010  ABC transporters
M00223	Phosphonate transport system	map02010  ABC transporters
M00224	Fluoroquinolones transport system	map02010  ABC transporters
M00225	Lysine/arginine/ornithine transport system	map02010  ABC transporters
M00226	Histidine transport system	map02010  ABC transporters
M00227	Glutamine transport system	map02010  ABC transporters
M00228	Putative glutamine transport system	map02010  ABC transporters
M00229	Arginine transport system	map02010  ABC transporters
M00230	Glutamate/aspartate transport system	map02010  ABC transporters
M00231	Octopine/nopaline transport system	map02010  ABC transporters
M00232	General L-amino acid transport system	map02010  ABC transporters
M00233	Glutamate transport system	map02010  ABC transporters
M00234	Cystine transport system	map02010  ABC transporters
M00235	Arginine/ornithine transport system	map02010  ABC transporters
M00237	Branched-chain amino acid transport system	map02010  ABC transporters
M00238	D-Methionine transport system	map02010  ABC transporters
M00239	Peptides/nickel transport system	map02010  ABC transporters
M00240	Iron complex transport system	map02010  ABC transporters
M00241	Vitamin B12 transport system	map02010  ABC transporters
M00242	Zinc transport system	map02010  ABC transporters
M00245	Cobalt/nickel transport system	map02010  ABC transporters
M00246	Nickel transport system	map02010  ABC transporters
M00248	Putative antibiotic transport system	map02010  ABC transporters
M00249	Capsular polysaccharide transport system	map02010  ABC transporters
M00250	Lipopolysaccharide transport system	map02010  ABC transporters
M00251	Teichoic acid transport system	map02010  ABC transporters
M00252	Lipooligosaccharide transport system	map02010  ABC transporters
M00253	Sodium transport system	map02010  ABC transporters
M00255	Lipoprotein-releasing system	map02010  ABC transporters
M00256	Cell division transport system	map02010  ABC transporters
M00257	Hemin transport system	map02010  ABC transporters
M00259	Heme transport system	map02010  ABC transporters
M00260	DNA polymerase III complex, bacteria	map03030  DNA replication
M00261	DNA polymerase alpha / primase complex	map03030  DNA replication
M00262	DNA polymerase delta complex	map03030  DNA replication
M00263	DNA polymerase epsilon complex	map03030  DNA replication
M00265	PTS system, glucose-specific II component	map00010  Glycolysis / Gluconeogenesis
M00266	PTS system, maltose and glucose-specific II component	map00010  Glycolysis / Gluconeogenesis
M00267	PTS system, N-acetylglucosamine-specific II component	map00520  Amino sugar and nucleotide sugar metabolism
M00268	PTS system, arbutin-like II component	map00010  Glycolysis / Gluconeogenesis
M00269	PTS system, sucrose-specific II component	map00500  Starch and sucrose metabolism
M00270	PTS system, trehalose-specific II component	map00500  Starch and sucrose metabolism
M00271	PTS system, beta-glucosides-specific II component	map02060  Phosphotransferase system (PTS)
M00272	PTS system, arbutin-, cellobiose-, and salicin-specific II component	map00010  Glycolysis / Gluconeogenesis
M00273	PTS system, fructose-specific II component	map00051  Fructose and mannose metabolism
M00274	PTS system, mannitol-specific II component	map00051  Fructose and mannose metabolism
M00275	PTS system, cellobiose-specific II component	map02060  Phosphotransferase system (PTS)
M00276	PTS system, mannose-specific II component	map00051  Fructose and mannose metabolism
M00277	PTS system, N-acetylgalactosamine-specific II component	map00052  Galactose metabolism
M00278	PTS system, sorbose-specific II component	map00051  Fructose and mannose metabolism
M00279	PTS system, galactitol-specific II component	map00052  Galactose metabolism
M00280	PTS system, glucitol/sorbitol-specific II component	map00051  Fructose and mannose metabolism
M00281	PTS system, lactose-specific II component	map00052  Galactose metabolism
M00282	PTS system, D-glucosamine-specific II component	map00520  Amino sugar and nucleotide sugar metabolism
M00283	PTS system, ascorbate-specific II component	map00053  Ascorbate and aldarate metabolism
M00284	Origin recognition complex	map04110  Cell cycle
M00285	MCM complex	map03030  DNA replication
M00287	PTS system, galactosamine-specific II component	map00052  Galactose metabolism
M00288	RPA complex	map03030  DNA replication
M00289	RF-C complex	map03030  DNA replication
M00290	Holo-TFIIH complex	map03420  Nucleotide excision repair
M00291	MRN complex	map03440  Homologous recombination
M00292	MRX complex	map03440  Homologous recombination
M00293	DNA polymerase zeta  complex	map03460  Fanconi anemia pathway
M00295	BRCA1-associated genome surveillance complex (BASC)	map03430  Mismatch repair
M00296	BER complex	map03410  Base excision repair
M00297	DNA-PK complex	map03450  Non-homologous end-joining
M00298	Multidrug/hemolysin transport system	map02010  ABC transporters
M00299	Spermidine/putrescine transport system	map02010  ABC transporters
M00300	Putrescine transport system	map02010  ABC transporters
M00301	Mannopine transport system	map02010  ABC transporters
M00302	2-Aminoethylphosphonate transport system	map02010  ABC transporters
M00303	PTS system, N-acetylmuramic acid-specific II component	map02060  Phosphotransferase system (PTS)
M00304	PTS system, fructose-specific II component	map02060  Phosphotransferase system (PTS)
M00305	PTS system, 2-O-A-mannosyl-D-glycerate-specific II component	map02060  Phosphotransferase system (PTS)
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010  Glycolysis / Gluconeogenesis
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde-3P + pyruvate	map00030  Pentose phosphate pathway
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde + pyruvate	map00030  Pentose phosphate pathway
M00310	Pyruvate:ferredoxin oxidoreductase	map00620  Pyruvate metabolism
M00311	2-oxoglutarate:ferredoxin oxidoreductase	map00020  Citrate cycle (TCA cycle)
M00312	2-oxoisovalerate:ferredoxin oxidoreductase	map00280  Valine, leucine and isoleucine degradation
M00314	Bacitracin transport system	map02010  ABC transporters
M00315	Uncharacterized ABC transport system	map02020  Two-component system
M00316	Manganese transport system	map02010  ABC transporters
M00317	Manganese/iron transport system	map02010  ABC transporters
M00318	Iron/zinc/copper transport system	map02010  ABC transporters
M00319	Manganese/zinc/iron transport system	map02010  ABC transporters
M00320	Lipopolysaccharide export system	map02010  ABC transporters
M00321	Bicarbonate transport system	map02010  ABC transporters
M00322	Neutral amino acid transport system	map02010  ABC transporters
M00323	Urea transport system	map02010  ABC transporters
M00324	Dipeptide transport system	map02010  ABC transporters
M00325	alpha-Hemolysin/cyclolysin transport system	map02010  ABC transporters
M00331	Type II general secretion system	map03070  Bacterial secretion system
M00332	Type III secretion system	map03070  Bacterial secretion system
M00333	Type IV secretion system	map03070  Bacterial secretion system
M00334	Type VI secretion system	map03070  Bacterial secretion system
M00335	Sec (secretion) system	map03070  Bacterial secretion system
M00336	Twin-arginine translocation (Tat) system	map03070  Bacterial secretion system
M00337	Immunoproteasome	map03050  Proteasome
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	map00270  Cysteine and methionine metabolism
M00339	RaxAB-RaxC type I secretion system	map04626  Plant-pathogen interaction
M00340	Proteasome, 20S core particle	map03050  Proteasome
M00341	Proteasome, 19S regulatory particle (PA700)	map03050  Proteasome
M00342	Bacterial proteasome	map03050  Proteasome
M00343	Archaeal proteasome	map03050  Proteasome
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	map00680  Methane metabolism
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	map00680  Methane metabolism
M00346	Formaldehyde assimilation, serine pathway	map00680  Methane metabolism
M00347	Methanogenesis, formate => methane	map00680  Methane metabolism
M00348	Glutathione transport system	map02010  ABC transporters
M00349	Microcin C transport system	map02010  ABC transporters
M00350	Capsaicin biosynthesis, L-Phenylalanine => Capsaicin	map00360  Phenylalanine metabolism
M00351	Spliceosome, U1-snRNP	map03040  Spliceosome
M00352	Spliceosome, U2-snRNP	map03040  Spliceosome
M00353	Spliceosome, Prp19/CDC5L complex	map03040  Spliceosome
M00354	Spliceosome, U4/U6.U5 tri-snRNP	map03040  Spliceosome
M00355	Spliceosome, 35S U5-snRNP	map03040  Spliceosome
M00356	Methanogenesis, methanol => methane	map00680  Methane metabolism
M00357	Methanogenesis, acetate => methane	map00680  Methane metabolism
M00358	Coenzyme M biosynthesis	map00680  Methane metabolism
M00359	Aminoacyl-tRNA biosynthesis, eukaryotes	map00970  Aminoacyl-tRNA biosynthesis
M00360	Aminoacyl-tRNA biosynthesis, prokaryotes	map00970  Aminoacyl-tRNA biosynthesis
M00361	Nucleotide sugar biosynthesis, eukaryotes	map00520  Amino sugar and nucleotide sugar metabolism
M00362	Nucleotide sugar biosynthesis, prokaryotes	map00520  Amino sugar and nucleotide sugar metabolism
M00363	EHEC pathogenicity signature, Shiga toxin	map05130  Pathogenic Escherichia coli infection
M00364	C10-C20 isoprenoid biosynthesis, bacteria	map00900  Terpenoid backbone biosynthesis
M00365	C10-C20 isoprenoid biosynthesis, archaea	map00900  Terpenoid backbone biosynthesis
M00366	C10-C20 isoprenoid biosynthesis, plants	map00900  Terpenoid backbone biosynthesis
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	map00900  Terpenoid backbone biosynthesis
M00368	Ethylene biosynthesis, methionine => ethylene	map00270  Cysteine and methionine metabolism
M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	map00460  Cyanoamino acid metabolism
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin	map00966  Glucosinolate biosynthesis
M00371	Castasterone biosynthesis, campesterol => castasterone	map00905  Brassinosteroid biosynthesis
M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	map00906  Carotenoid biosynthesis
M00373	Ethylmalonyl pathway	map00630  Glyoxylate and decarboxylate metabolism
M00374	Dicarboxylate-hydroxybutyrate cycle	map00720  Carbon fixation pathways in prokaryotes
M00375	Hydroxypropionate-hydroxybutylate cycle	map00720  Carbon fixation pathways in prokaryotes
M00376	3-Hydroxypropionate bicycle	map00720  Carbon fixation pathways in prokaryotes
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	map00720  Carbon fixation pathways in prokaryotes
M00378	F420 biosynthesis	map00680  Methane metabolism
M00379	SCF-MET30 complex	map04120  Ubiquitin mediated proteolysis
M00380	SCF-BTRC complex	map04120  Ubiquitin mediated proteolysis
M00381	SCF-SKP2 complex	map04120  Ubiquitin mediated proteolysis
M00382	SCF-FBS complex	map04120  Ubiquitin mediated proteolysis
M00383	ECV complex	map04120  Ubiquitin mediated proteolysis
M00384	Cul3-SPOP complex	map04120  Ubiquitin mediated proteolysis
M00385	Cul4-DDB1-DDB2 complex	map04120  Ubiquitin mediated proteolysis
